team,season,wins,losses,win_pct,pts_per_game,fg_pct,three_pt_pct,three_pt_attempts,off_reb,def_reb,total_reb,assists,turnovers,blocks
Portland Trail Blazers,2022-23,33,49,0.402,113.4,0.474,0.365,35.3,9.4,31.1,40.5,24.2,14.5,4.6
Sacramento Kings,2022-23,48,34,0.585,120.7,0.494,0.369,37.3,9.5,32.9,42.5,27.3,13.5,3.4
San Antonio Spurs,2022-23,22,60,0.268,113.0,0.465,0.345,32.2,11.8,31.9,43.7,27.2,15.3,3.9
Toronto Raptors,2022-23,41,41,0.5,112.9,0.459,0.335,32.0,12.7,30.3,43.0,23.9,11.7,5.2
Utah Jazz,2022-23,37,45,0.451,117.1,0.473,0.353,37.8,11.8,34.1,45.9,26.0,15.4,5.2
Washington Wizards,2022-23,35,47,0.427,113.2,0.485,0.356,31.7,9.4,34.2,43.6,25.4,14.1,5.2
Atlanta Hawks,2023-24,36,46,0.439,118.3,0.465,0.364,37.7,12.5,32.2,44.7,26.6,13.5,4.5
Boston Celtics,2023-24,64,18,0.78,120.6,0.487,0.388,42.5,10.7,35.6,46.3,26.9,11.9,6.6
Brooklyn Nets,2023-24,32,50,0.39,110.4,0.456,0.362,36.7,11.4,32.6,44.1,25.6,13.1,5.2
Charlotte Hornets,2023-24,21,61,0.256,106.6,0.46,0.355,34.0,9.3,31.0,40.3,24.8,13.8,4.5
Chicago Bulls,2023-24,39,43,0.476,112.3,0.47,0.358,32.1,11.2,32.6,43.8,25.0,12.2,4.8
Cleveland Cavaliers,2023-24,48,34,0.585,112.6,0.479,0.367,36.8,9.8,33.4,43.3,28.0,13.6,4.6
Dallas Mavericks,2023-24,50,32,0.61,117.9,0.481,0.369,39.5,9.7,33.2,42.9,25.7,12.5,5.0
Denver Nuggets,2023-24,57,25,0.695,114.9,0.496,0.374,31.2,10.7,33.7,44.4,29.5,12.6,5.6
Detroit Pistons,2023-24,14,68,0.171,109.9,0.463,0.348,31.7,10.5,32.8,43.3,25.5,15.2,4.7
Golden State Warriors,2023-24,46,36,0.561,117.8,0.477,0.38,38.9,12.1,34.6,46.7,29.3,14.3,4.6
Houston Rockets,2023-24,41,41,0.5,114.3,0.459,0.352,36.1,11.5,34.0,45.5,24.8,12.7,4.6
Indiana Pacers,2023-24,47,35,0.573,123.3,0.507,0.374,35.3,10.1,31.4,41.5,30.8,12.9,5.9
LA Clippers,2023-24,51,31,0.622,115.6,0.489,0.381,33.2,10.0,32.9,43.0,25.6,13.1,5.0
Los Angeles Lakers,2023-24,47,35,0.573,118.0,0.499,0.377,31.4,8.2,34.9,43.1,28.5,14.0,5.5
Memphis Grizzlies,2023-24,27,55,0.329,105.8,0.435,0.346,37.8,10.9,31.7,42.6,24.7,15.1,6.1
Miami Heat,2023-24,46,36,0.561,110.1,0.465,0.37,33.7,9.3,33.0,42.3,25.8,12.7,3.4
Milwaukee Bucks,2023-24,49,33,0.598,119.0,0.487,0.373,38.1,9.4,34.8,44.2,26.5,12.9,5.0
Minnesota Timberwolves,2023-24,56,26,0.683,113.0,0.485,0.387,32.7,9.4,34.2,43.6,26.6,14.2,6.1
New Orleans Pelicans,2023-24,49,33,0.598,115.1,0.486,0.383,32.6,10.4,33.6,44.0,27.0,13.0,4.6
New York Knicks,2023-24,50,32,0.61,112.8,0.465,0.369,35.8,12.7,32.5,45.2,24.4,13.2,4.1
Oklahoma City Thunder,2023-24,57,25,0.695,120.1,0.499,0.389,34.2,8.8,33.2,42.0,27.1,12.7,6.6
Orlando Magic,2023-24,47,35,0.573,110.5,0.476,0.352,31.3,10.5,31.8,42.3,24.7,14.7,5.2
Philadelphia 76ers,2023-24,47,35,0.573,114.6,0.464,0.363,33.3,11.0,31.9,43.0,24.9,12.0,6.0
Phoenix Suns,2023-24,49,33,0.598,116.2,0.493,0.382,32.6,10.1,33.9,44.1,27.0,14.9,6.0
